Video Location,is Anomaly
dataset/videos/Assault042_x264.mp4,1
dataset/videos/Normal_Videos102_x264.mp4,0
dataset/videos/Assault051_x264.mp4,1
dataset/videos/Normal_Videos071_x264.mp4,0
dataset/videos/Arson001_x264.mp4,1
dataset/videos/Arson022_x264.mp4,1
dataset/videos/Arson013_x264.mp4,1
dataset/videos/Normal_Videos271_x264.mp4,0
dataset/videos/Normal_Videos242_x264.mp4,0
dataset/videos/Normal_Videos089_x264.mp4,0
dataset/videos/Arson044_x264.mp4,1
dataset/videos/Normal_Videos287_x264.mp4,0
dataset/videos/Assault049_x264.mp4,1
dataset/videos/Normal_Videos176_x264.mp4,0
dataset/videos/Normal_Videos202_x264.mp4,0
dataset/videos/Normal_Videos164_x264.mp4,0
dataset/videos/Normal_Videos109_x264.mp4,0
dataset/videos/Abuse020_x264.mp4,1
dataset/videos/Abuse047_x264.mp4,1
dataset/videos/Arrest015_x264.mp4,1
dataset/videos/Normal_Videos057_x264.mp4,0
dataset/videos/Abuse011_x264.mp4,1
dataset/videos/Normal_Videos281_x264.mp4,0
dataset/videos/Normal_Videos234_x264.mp4,0
dataset/videos/Normal_Videos142_x264.mp4,0
dataset/videos/Abuse035_x264.mp4,1
dataset/videos/Normal_Videos288_x264.mp4,0
dataset/videos/Normal_Videos149_x264.mp4,0
dataset/videos/Abuse025_x264.mp4,1
dataset/videos/Normal_Videos201_x264.mp4,0
dataset/videos/Normal_Videos012_x264.mp4,0
dataset/videos/Normal_Videos277_x264.mp4,0
dataset/videos/Arson019_x264.mp4,1
dataset/videos/Normal_Videos104_x264.mp4,0
dataset/videos/Abuse032_x264.mp4,1
dataset/videos/Normal_Videos110_x264.mp4,0
dataset/videos/Normal_Videos292_x264.mp4,0
dataset/videos/Normal_Videos091_x264.mp4,0
dataset/videos/Normal_Videos147_x264.mp4,0
dataset/videos/Arrest031_x264.mp4,1
dataset/videos/Arrest016_x264.mp4,1
dataset/videos/Arson052_x264.mp4,1
dataset/videos/Arson048_x264.mp4,1
dataset/videos/Abuse029_x264.mp4,1
dataset/videos/Arrest029_x264.mp4,1
dataset/videos/Normal_Videos115_x264.mp4,0
dataset/videos/Assault011_x264.mp4,1
dataset/videos/Normal_Videos099_x264.mp4,0
dataset/videos/Normal_Videos269_x264.mp4,0
dataset/videos/Normal_Videos114_x264.mp4,0
dataset/videos/Arson008_x264.mp4,1
dataset/videos/Normal_Videos183_x264.mp4,0
dataset/videos/Normal_Videos090_x264.mp4,0
dataset/videos/Normal_Videos107_x264.mp4,0
dataset/videos/Normal_Videos092_x264.mp4,0
dataset/videos/Arson014_x264.mp4,1
dataset/videos/Abuse013_x264.mp4,1
dataset/videos/Arson016_x264.mp4,1
dataset/videos/Normal_Videos017_x264.mp4,0
dataset/videos/Normal_Videos212_x264.mp4,0
