Video Location,is Anomaly
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train005/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train008/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train013/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test012/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test003/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test006/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train007/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train016/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test009/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train006/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train015/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train003/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test010/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train004/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test005/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train001/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test007/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train011/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test001/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test002/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train002/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train009/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train012/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Train/Train014/,0
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test008/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test004/,1
dataset/UCSD_Anomaly_Dataset.v1p2/UCSDped2/Test/Test011/,1
